Teu,Delivery_Date,Deadweight,Shipbuilder,Group_Beneficial_Owner,Operator,LR_IMO_Ship_No,Speed,Newbuild_Price_USD,Ship_Name,Beam,Delivery Year,Size Group,age
605,1996-05-30,8030,Singmarine Dockyard & Eng,MERATUS LINE PT,MERATUS LINE PT,9118575,16.39999962,17042000,Meratus Banjar 1,20,1996,0 - 899 TEU,19.94329292
653,1996-05-31,10354,Hanjin HI Co Ltd - Busan,GLOBAL SKIPSHOLDING 2 AS,HEUNG-A SHIPPING CO LTD,9131060,17.10000038,,Heung-A Singapore,20.52799988,1996,0 - 899 TEU,19.94055534
5364,1996-05-31,63388,Mitsubishi Kobe,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9116577,25,80000000,Ever Ultra,40,1996,4000 - 5399 TEU,19.94055534
5711,1996-05-31,68363,Hyundai Heavy Inds - Ulsan,ZODIAC MARITIME LTD,MSC MEDITERRANEAN SHIPPING CO,9110377,25.60000038,85000000,MSC Samantha,40.09999847,1996,5400+ TEU,19.94055534
1164,1996-06-01,15606,Hayashikane Dockyard Co Ltd,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9130509,18.70000076,,Ever Able,27.29999924,1996,900 - 1199 TEU,19.93781776
602,1996-06-14,7196,Hakata,KOTOKU KAIUN CO LTD,KOTOKU KAIUN CO LTD,9141900,14.5,,Confidence,19.79999924,1996,0 - 899 TEU,19.90222917
420,1996-06-15,7040,Daedong Shipbuilding - Busan,VINASHIN,TU LUC CONG TY CO PHAN,9128984,14.5,,Vinashin Liner 2,18.20000076,1996,0 - 899 TEU,19.89949159
1129,1996-06-17,18447,Gdynia Stocznia SA,AIMS SHIPPING CORP,AIMS SHIPPING CORP,9108386,18.5,21850000,Boxy Lady,24.04000092,1996,900 - 1199 TEU,19.89401643
2682,1996-06-18,38650,Kvaerner Warnow Werft GmbH,TECHNOMAR SHIPPING INC,MSC MEDITERRANEAN SHIPPING CO,9121259,22.29999924,47619000,Mamitsa,32.20000076,1996,2400 - 2699 TEU,19.89127884
1016,1996-06-19,12713,Szczecinska Stocznia SA,CONTINENTAL SHIPPING LINE PTE,CONTINENTAL SHIPPING LINE PTE,9117193,18,,Inle Star,22.29999924,1996,900 - 1199 TEU,19.88854126
700,1996-06-21,7223,Sietas Kg,RAMBOW REEDEREI,WEC LINES BV,9134139,16.5,,Sven,18.45000076,1996,0 - 899 TEU,19.88306609
5711,1996-06-21,68363,Hyundai Heavy Inds - Ulsan,ZODIAC MARITIME LTD,MSC MEDITERRANEAN SHIPPING CO,9110389,25.60000038,85000000,MSC Katyayni,40.09999847,1996,5400+ TEU,19.88306609
1510,1996-06-24,23650,Shin Kurushima Onishi,SOON FONG SHIPPING PTE LTD,SALAM PACIFIC INDONESIA LINES,9120920,19,30000000,Sinar Tanjung,28,1996,1200 - 1599 TEU,19.87485334
1228,1996-06-25,18196,Mitsubishi Shimonoseki,REGIONAL CONTAINER LINES,SIAM PAETRA INTERNATIONAL CO,9117129,19,25000000,Ratana Thida,25.02199936,1996,1200 - 1599 TEU,19.87211576
1133,1996-06-26,17429,Iwagi Zosen Co Ltd,SEABRIGHT SINGAPORE PTE LTD,SALAM PACIFIC INDONESIA LINES,9136591,18.10000038,,Silver Fern,25.60000038,1996,900 - 1199 TEU,19.86937818
700,1996-06-27,7202,Sietas Kg,FOROOHARI SCHIFFAHRTS,BF SHIPMANAGEMENT GMBH & CO KG,9130432,16.5,,Bf Fortaleza,18.45000076,1996,0 - 899 TEU,19.86664059
1129,1996-06-28,18423,Gdynia Stocznia SA,GOLDENPORT SHIPMANAGEMENT LTD,MSC MEDITERRANEAN SHIPPING CO,9108398,18.5,21850000,Paris Jr,24.04000092,1996,900 - 1199 TEU,19.86390301
1728,1996-06-28,23045,Szczecinska Stocznia SA,REGAL AGENCIES CORP,REGAL AGENCIES CORP,9105982,19.60000038,,Camilla,25.29999924,1996,1600 - 1799 TEU,19.86390301
2959,1996-06-28,34671,Hyundai Heavy Inds - Ulsan,HAMMONIA REEDEREI GMBH,HAMMONIA REEDEREI GMBH,9122394,21.10000038,27247000,Hammonia Gallicum,32.29800034,1996,2900 - 3999 TEU,19.86390301
5551,1996-07-01,68363,Hyundai Heavy Inds - Ulsan,HYUNDAI CORP,HYUNDAI MERCHANT MARINE CO LTD,9112260,25.60000038,,Freedom,40.09999847,1996,5400+ TEU,19.85569026
5711,1996-07-05,68363,Hyundai Heavy Inds - Ulsan,ZODIAC MARITIME LTD,MSC MEDITERRANEAN SHIPPING CO,9110391,25.60000038,85000000,MSC Dymphna,40.09999847,1996,5400+ TEU,19.84473993
3398,1996-07-11,42966,Samsung Heavy Inds - Geoje,COSTAMARE SHIPPING CO SA,MSC MEDITERRANEAN SHIPPING CO,9123166,23.25,45000000,MSC Alabama,32.25999832,1996,2900 - 3999 TEU,19.82831443
1122,1996-07-12,14587,Volkswerft Stralsund GmbH,CONTAL SHIPPING LTD,BERNUTH AGENCIES INC,9126986,19,23000000,Rothorn,23.73999977,1996,900 - 1199 TEU,19.82557685
1055,1996-07-15,13623,Szczecinska Stocznia SA,MSC SHIPMANAGEMENT LTD,MSC MEDITERRANEAN SHIPPING CO,9106493,18,20000000,MSC Clementina,24,1996,900 - 1199 TEU,19.8173641
342,1996-07-30,5848,ShinA Shipbuilding Co Ltd,KOREA MARINE TRANSPORT CO LTD,KOREA MARINE TRANSPORT CO LTD,9128300,16.5,,Sunny Palm,17.23999977,1996,0 - 899 TEU,19.77630035
7403,1996-08-01,84900,Odense Staalskibs - Lindo,PETER DOEHLE SCHIFFAHRTS-KG,MAERSK LINE A/S,9085546,24.60000038,87500000,Hammonia Hafnia,42.91799927,1996,5400+ TEU,19.77082519
420,1996-08-05,7040,Daedong Shipbuilding - Busan,HEUNG-A SHIPPING CO LTD,HEUNG-A SHIPPING CO LTD,9128996,14.5,,Heung-A Ulsan,18.20000076,1996,0 - 899 TEU,19.75987485
2078,1996-08-06,30600,Gdynia Stocznia SA,DAUELSBERG H,EVERGREEN MARINE CORP,9122435,19,35000000,Lindavia,30,1996,1800 - 2399 TEU,19.75713727
384,1996-08-16,5177,Chuandong Shipyard,DALIAN JIFA SHIP MANAGEMENT CO,DALIAN JIFA BOHAI,9149574,12,,Bo Hai Wan,15.89999962,1996,0 - 899 TEU,19.72976144
1122,1996-08-16,14587,Volkswerft Stralsund GmbH,HEINZ CORLEIS REEDEREI KG,NILE DUTCH AFRICA LINE BV,9126998,19.60000038,23000000,Titan,23.5,1996,900 - 1199 TEU,19.72976144
700,1996-08-17,7221,Sietas Kg,JAN NAGEL SCHIFFAHRTS KG,NAGEL REEDEREI,9130444,16.5,,Kalina,18.45000076,1996,0 - 899 TEU,19.72702386
2825,1996-08-19,35980,Halla Eng & HI - Incheon,CHARTWORLD SHIPPING CORP,MSC MEDITERRANEAN SHIPPING CO,9124366,22,39500000,MSC Imma,32.30199814,1996,2700 - 2899 TEU,19.72154869
1498,1996-08-20,21813,Mitsubishi Shimonoseki,REGIONAL CONTAINER LINES,CMA CGM SA THE FRENCH LINE,9117131,18.79999924,25000000,Itha Bhum,25.02199936,1996,1200 - 1599 TEU,19.71881111
385,1996-08-23,6816,Dae Sun Shipbuilding & Eng,CHINA GOVT,SINOTRANS CONTAINER LINES CO,9130999,14,,Yi Sheng,19,1996,0 - 899 TEU,19.71059836
1550,1996-08-26,24657,Kanasashi - Toyohashi,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9123582,19,50000000,Kota Wangi,27.60000038,1996,1200 - 1599 TEU,19.70238561
1088,1996-08-30,17738,Shin Kochi,WAN HAI LINES LTD,WAN HAI LINES LTD,9132894,17.60000038,24500000,Wan Hai 161,25,1996,900 - 1199 TEU,19.69143528
1512,1996-08-30,20100,Thyssen Nordseewerke,SINOKOR MERCHANT MARINE CO LTD,MSC MEDITERRANEAN SHIPPING CO,9084607,19.64999962,,MSC Nita,27.39999962,1996,1200 - 1599 TEU,19.69143528
5364,1996-08-30,62386,Mitsubishi Kobe,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9116589,25,80000000,Ever United,40,1996,4000 - 5399 TEU,19.69143528
1018,1996-09-01,13825,Singapore Technologies Shbldg,REGIONAL CONTAINER LINES,RCL SHIPMANAGEMENT PTE LTD,9112698,16,22772000,Danu Bhum,22.93000031,1996,900 - 1199 TEU,19.68596011
1008,1996-09-05,15628,Iwagi Zosen Co Ltd,MITSUI OSK LINES LTD,MITSUI OSK LINES LTD,9140061,17.29999924,,Ial 001,25,1996,900 - 1199 TEU,19.67500978
5711,1996-09-06,68363,Hyundai Heavy Inds - Ulsan,GOLDENPORT SHIPMANAGEMENT LTD,GOLDENPORT SHIPMANAGEMENT LTD,9112272,25.60000038,,Fortunate,40.11000061,1996,5400+ TEU,19.67227219
1018,1996-09-09,13825,Singapore Technologies Shbldg,REGIONAL CONTAINER LINES,CNC LINE-CHINESE TAIPEI,9112686,16,22772000,Chana Bhum,22.93000031,1996,900 - 1199 TEU,19.66405944
342,1996-09-12,5962,Dae Sun Shipbuilding & Eng,CK LINE CO LTD,CK LINE CO LTD,9154751,14.80000019,,Sky Duke,17.40500069,1996,0 - 899 TEU,19.6558467
929,1996-09-13,17476,Imabari Shbldg - Imabari,MERATUS LINE PT,MERATUS LINE PT,9146651,18.10000038,,Meratus Medan 1,25.60000038,1996,900 - 1199 TEU,19.65310911
5551,1996-09-18,68363,Hyundai Heavy Inds - Ulsan,HYUNDAI CORP,HYUNDAI MERCHANT MARINE CO LTD,9112284,25.60000038,,Hyundai General,40,1996,5400+ TEU,19.6394212
500,1996-09-19,8721,Murakami Hide,VINASHIN,VISHIP JSC,9146780,17.5,,Morning Viship,18.20000076,1996,0 - 899 TEU,19.63668361
601,1996-09-21,7000,Hegemann Berne,MYKLEBUSTHAUG GROUP,MYKLEBUSTHAUG MANAGEMENT AS,9128544,17,,Green Fast,19.70000076,1996,0 - 899 TEU,19.63120845
700,1996-09-21,7223,Sietas Kg,ARA SHIP MANAGEMENT BV,WEC LINES BV,9134153,16.5,,ARA Halifax,18.45000076,1996,0 - 899 TEU,19.63120845
170,1996-09-23,3393,Donghai Shipyard,,FUZHOU HAISHENG SHIPPING CO,9147576,12,,Xin Fu Xing,14.76000023,1996,0 - 899 TEU,19.62573328
342,1996-09-24,5918,ShinA Shipbuilding Co Ltd,NAM SUNG SHIPPING CO LTD,RPTD SOLD UNDISCLOSED INTEREST,9128312,16,,Happy Star,17.5,1996,0 - 899 TEU,19.6229957
420,1996-09-24,7040,Daedong Shipbuilding - Busan,HEUNG-A SHIPPING CO LTD,HEUNG-A SHIPPING CO LTD,9129005,14.5,,Heung-A Tokyo,18.20000076,1996,0 - 899 TEU,19.6229957
349,1996-09-25,6602,Shin Kochi,CHINA GOVT,TIANJIN INTERNATIONAL MARINE,9142265,13.19999981,,Tian Fu Tianjin,18.39999962,1996,0 - 899 TEU,19.62025811
446,1996-09-25,5966,Pattje,BALTNAUTIC SHIPPING LTD,BALTNAUTIC SHIPMANAGEMENT LTD,9123518,15,11744000,Aries,15.89999962,1996,0 - 899 TEU,19.62025811
226,1996-09-26,3740,Shandong Weihai Shipyard,,HUA HENG SHIPPING LTD,9155286,12,,Shun Xing,15,1996,0 - 899 TEU,19.61752053
1728,1996-09-26,22900,Szczecinska Stocznia SA,SWIRE & SONS LTD,CHINA NAVIGATION CO PTE LTD,9105994,19,,Ngankin,25.29999924,1996,1600 - 1799 TEU,19.61752053
1550,1996-09-27,24662,Kanasashi - Toyohashi,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9123594,19,50000000,Kota Wangsa,27.60000038,1996,1200 - 1599 TEU,19.61478295
1730,1996-09-27,23043,Szczecinska Stocznia SA,CONTINENTAL SHIPPING LINE PTE,CONTINENTAL SHIPPING LINE PTE,9122057,20,,Yadanabon Star,25.29999924,1996,1600 - 1799 TEU,19.61478295
3300,1996-10-01,51210,Fincantieri Ancona,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,9129885,22.60000038,55000000,MSC Rafaela,32.25,1996,2900 - 3999 TEU,19.60383262
1122,1996-10-02,14587,Volkswerft Stralsund GmbH,,ELEMENT SHIPMANAGEMENT SA,9127007,19,23000000,Jaguar,23.5,1996,900 - 1199 TEU,19.60109503
532,1996-10-03,7000,Peterswerft,BMC LINE SHIPPING SERVICES LLC,COMETAS SHIPPING CO,9141106,16.5,,DElta North,19.5,1996,0 - 899 TEU,19.59835745
1550,1996-10-12,24650,Kanasashi - Toyohashi,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9123609,19,50000000,Kota Waruna,27.60000038,1996,1200 - 1599 TEU,19.5737192
1032,1996-10-23,17781,Imabari Shbldg - Imabari,CONTINENTAL SHIPPING LINE PTE,CONTINENTAL SHIPPING LINE PTE,9146649,18.10000038,,Sentosa Star,25.60000038,1996,900 - 1199 TEU,19.54360579
95,1996-10-25,1763,Daedong Shipbuilding - Busan,SITA WASTE SERVICES LTD,SWIRE & SONS LTD,9127100,11,,Tsing Chau,18.17000008,1996,0 - 899 TEU,19.53813062
2061,1996-10-25,30095,Flender,CLAUS-PETER OFFEN REEDEREI,HAMBURG SUDAMERIKANISCHE,9126481,19,,Santa Giuliana,29.94000053,1996,1800 - 2399 TEU,19.53813062
5551,1996-10-28,68379,Hyundai Heavy Inds - Ulsan,HYUNDAI CORP,HYUNDAI MERCHANT MARINE CO LTD,9128166,25.60000038,,Hyundai Highness,40,1996,5400+ TEU,19.52991787
1042,1996-10-31,12380,Szczecinska Stocznia SA,,LUMAR SA,9118513,17.5,,Mekong Spirit,22.29999924,1996,900 - 1199 TEU,19.52170512
7403,1996-11-01,84900,Odense Staalskibs - Lindo,PETER DOEHLE SCHIFFAHRTS-KG,MAERSK LINE A/S,9085558,24.60000038,87500000,MSC Karlskrona,42.91799927,1996,5400+ TEU,19.51896754
942,1996-11-08,12950,Sietas Kg,MERATUS LINE PT,MERATUS LINE PT,9131814,19,,Meratus Batam,24.14999962,1996,900 - 1199 TEU,19.49980446
1608,1996-11-08,22026,MTW Schiffswerft GmbH,F A VINNEN & CO GMBH & CO KG,F A VINNEN & CO GMBH & CO KG,9135925,21,,Merkur Cloud,26.70000076,1996,1600 - 1799 TEU,19.49980446
420,1996-11-13,7040,Daedong Shipbuilding - Busan,VSICO SHIPPING JSC,VSICO SHIPPING JSC,9129017,14.5,,Vsico Pioneer,18.20000076,1996,0 - 899 TEU,19.48611654
1129,1996-11-13,18449,Gdynia Stocznia SA,ALPHA SHIP GMBH,ALPHA SHIPMANAGEMENT GMBH & CO,9127502,18.5,,As Mars,24.20000076,1996,900 - 1199 TEU,19.48611654
1088,1996-11-14,17697,Shin Kochi,WAN HAI LINES LTD,WAN HAI LINES LTD,9132909,17.60000038,24500000,Wan Hai 162,25,1996,900 - 1199 TEU,19.48337896
500,1996-11-15,8721,Murakami Hide,MERATUS LINE PT,MERATUS LINE PT,9146792,14.5,,Meratus Tangguh 1,18.20000076,1996,0 - 899 TEU,19.48064138
404,1996-11-22,6700,Dae Sun Shipbuilding & Eng,VIETNAM GOVT,ATLANTIC OCEAN SHIPPING,9131008,14.5,,Duong Dong,19,1996,0 - 899 TEU,19.46147829
1164,1996-11-25,15606,Evergreen Heavy Industrial,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9130511,18.70000076,,Ever Ally,27.29999924,1996,900 - 1199 TEU,19.45326555
342,1996-11-28,5834,ShinA Shipbuilding Co Ltd,KOREA MARINE TRANSPORT CO LTD,KOREA MARINE TRANSPORT CO LTD,9133484,16.5,,Sunny Maple,17.20000076,1996,0 - 899 TEU,19.4450528
5364,1996-11-29,63388,Mitsubishi Kobe,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9116591,25,80000000,Ever Unison,40,1996,4000 - 5399 TEU,19.44231521
1050,1996-12-01,13248,Yvc Ysselwerf,JR SHIPPING BV,ESF EUROSERVICES BV,9136228,19,,Evolution,23.28000069,1996,900 - 1199 TEU,19.43684005
1730,1996-12-01,22900,Szczecinska Stocznia SA,CMA CGM HOLDING & CO SAS,CMA CGM SA THE FRENCH LINE,9134646,19.60000038,,CMA Cgm Impala,25.29999924,1996,1600 - 1799 TEU,19.43684005
420,1996-12-06,7032,Daedong Shipbuilding - Busan,FUJIAN XINAN SHIPPING CO LTD,FUJIAN XINAN SHIPPING CO LTD,9122306,14,,Nagaleader,18.20000076,1996,0 - 899 TEU,19.42315213
1512,1996-12-06,20058,Thyssen Nordseewerke,CONTINENTAL SHIPPING LINE PTE,CONTINENTAL SHIPPING LINE PTE,9119660,19.60000038,,Chindwin Star,27.62000084,1996,1200 - 1599 TEU,19.42315213
1613,1996-12-06,24376,Shin Kurushima Onishi,LOMAR SHIPPING & MANAGEMENT,SHREYAS SHIPPING & LOGISTICS,9137521,20,,Osaka Trader,28,1996,1600 - 1799 TEU,19.42315213
366,1996-12-08,4850,Navol,BALTNAUTIC SHIPPING LTD,BALTNAUTIC SHIPPING LTD,9142447,14,,Medazov Rosa,16.89999962,1996,0 - 899 TEU,19.41767697
2080,1996-12-10,30300,Gdynia Stocznia SA,HANSA TREUHAND GMBH & CO KG,HANSA SHIPPING GMBH & CO KG,9124378,20,,Glory,30.34000015,1996,1800 - 2399 TEU,19.4122018
1228,1996-12-14,17468,Imabari Shbldg - Imabari,SINOKOR MERCHANT MARINE CO LTD,SINOKOR MERCHANT MARINE CO LTD,9146663,18.10000038,,Sinokor Hongkong,25.60000038,1996,1200 - 1599 TEU,19.40125147
2078,1996-12-16,30620,Gdynia Stocznia SA,DAUELSBERG H,EVERGREEN MARINE CORP,9122447,19.5,35000000,Magnavia,30,1996,1800 - 2399 TEU,19.3957763
601,1996-12-17,6850,Hegemann Berne,DRAXL SCHIFFAHRTS GMBH & CO KG,TAN CANG SHIPPING JSC,9141041,17,13400000,Promote,19.39999962,1996,0 - 899 TEU,19.39303872
1129,1996-12-18,18400,Gdynia Stocznia SA,GHF GMBH,MSC MEDITERRANEAN SHIPPING CO,9127514,18,,As Venus,24.26000023,1996,900 - 1199 TEU,19.39030113
1504,1996-12-18,22148,Gdanska Stocznia SA,COSTAMARE SHIPPING CO SA,CIEL SHIPMANAGEMENT SA,9117181,20.39999962,25500000,Prosper,26.5,1996,1200 - 1599 TEU,19.39030113
1608,1996-12-19,22250,MTW Schiffswerft GmbH,TECHNOMAR SHIPPING INC,TECHNOMAR SHIPPING INC,9129823,19.5,,Eleni I,27.05999947,1996,1600 - 1799 TEU,19.38756355
2000,1996-12-19,32482,Flensburger Kg,CHINA GOVT,FUJIAN ORIENT SHIPPING CO LTD,9122538,19.79999924,,Dong Fang Qiang,30.60000038,1996,1800 - 2399 TEU,19.38756355
1122,1996-12-20,14587,Volkswerft Stralsund GmbH,CROWLEY MARITIME CORP,CROWLEY LINER SERVICES INC,9127021,19.5,23000000,Ocean,23.73999977,1996,900 - 1199 TEU,19.38482597
342,1996-12-28,5918,ShinA Shipbuilding Co Ltd,NAM SUNG SHIPPING CO LTD,NAM SUNG SHIPPING CO LTD,9128324,16,,Merry Star,17.20000076,1996,0 - 899 TEU,19.3629253
358,1996-12-30,4336,Jinling Shipyard,WUHAN LONGXUN SHIPPING MGMT CO,OCEAN GROW INTL SHIPMGMT,9161443,12,,Qi Da Hao,17.60000038,1996,0 - 899 TEU,19.35745014
1684,1996-12-30,22386,Szczecinska Stocznia SA,DAL/JTE GROUP,UNITED AFRICA FEEDER LINE LTD,9124392,19,,Uafl Zanzibar,25.29999924,1996,1600 - 1799 TEU,19.35745014
1730,1996-12-30,22878,Szczecinska Stocznia SA,SEACHANGE MARITIME LLC,SEALIFT INC,9123037,19.70000076,,Capt David I Lyon,25.29999924,1996,1600 - 1799 TEU,19.35745014
95,1997-01-01,1763,Daedong Shipbuilding - Busan,SITA WASTE SERVICES LTD,SWIRE & SONS LTD,9127112,10.30000019,,Mo Sing Leng,18.17000008,1997,0 - 899 TEU,19.35386721
5618,1997-01-01,69285,Kawasaki HI - Sakaide - earl,COSCO,COSCON,9120748,24.5,83300000,Luhe,39.90000153,1997,5400+ TEU,19.35386721
1445,1997-01-14,19325,China Shipbuilding - Kaohsiung,ARKAS HOLDING AS,ARKAS KONTEYNER TASIMACILIK AS,9126742,18,23800000,Roza A,27.33799934,1997,1200 - 1599 TEU,19.31827515
1585,1997-01-14,21054,Samsung Heavy Inds - Geoje,KOREA MARINE TRANSPORT CO LTD,KOREA MARINE TRANSPORT CO LTD,9131852,19.70000076,25000000,KMTC Pusan,27.60000038,1997,1200 - 1599 TEU,19.31827515
1585,1997-01-14,21069,Samsung Heavy Inds - Geoje,KOREA MARINE TRANSPORT CO LTD,KOREA MARINE TRANSPORT CO LTD,9131864,19.70000076,25000000,KMTC Ulsan,27.60000038,1997,1200 - 1599 TEU,19.31827515
836,1997-01-21,15418,Kanasashi - Shizuoka,COSCO,WAN HAI LINES LTD,9146704,17,,Yang Jiang He,25,1997,0 - 899 TEU,19.2991102
411,1997-01-22,6477,Dae Sun Shipbuilding & Eng,JAYAKUSUMA PERDANA LINES PT,JAYAKUSUMA PERDANA LINES PT,9162239,14.60000038,,Damai Bahagia,17.29999924,1997,0 - 899 TEU,19.29637235
942,1997-01-28,12950,Sietas Kg,MAGELLAN CHARTERING SERVICES,STEFAN PATJENS REEDEREI GMBH,9144718,18.5,,Renate P,24.14999962,1997,900 - 1199 TEU,19.27994524
889,1997-01-30,10908,Miho Shimizu,REGIONAL CONTAINER LINES,RCL SHIPMANAGEMENT PTE LTD,9143453,16,21500000,Kiti Bhum,22.34000015,1997,0 - 899 TEU,19.27446954
5364,1997-01-31,63388,Mitsubishi Kobe,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9116606,25,80000000,Ever Unique,40,1997,4000 - 5399 TEU,19.27173169
5618,1997-02-01,69285,Kawasaki HI - Sakaide - earl,COSCO,COSCON,9120750,24.5,83300000,Yue He,39.90000153,1997,5400+ TEU,19.26899384
7403,1997-02-01,84900,Odense Staalskibs - Lindo,COSTAMARE SHIPPING CO SA,MAERSK LINE A/S,9085560,25,87500000,Maersk Kokura,42.91799927,1997,5400+ TEU,19.26899384
1613,1997-02-06,24365,Shin Kurushima Onishi,TRANSWORLD GROUP,ORIENT EXPRESS LINES INC,9137533,20,,Ssl Gujarat,28,1997,1600 - 1799 TEU,19.25530459
653,1997-02-07,7966,Hakata,KOTOKU KAIUN CO LTD,KOHYU MARINE,9161819,14.5,,Eagle Sky,19.79999924,1997,0 - 899 TEU,19.25256674
1157,1997-02-19,17182,Shin Kochi,NYK LINE,MTT SHIPPING SDN BHD,9146065,18,,MTT Pulau Pinang,25,1997,900 - 1199 TEU,19.21971253
1088,1997-02-21,17626,Kanasashi - Toyohashi,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9151307,17.60000038,,Kota Hadiah,25,1997,900 - 1199 TEU,19.21423682
2758,1997-02-26,34894,Samsung Heavy Inds - Geoje,NSB NIEDERELBE SCHIFFAHRTSGES,ORIENT EXPRESS LINES INC,9128192,21,50000000,Conti Brisbane,32.25,1997,2700 - 2899 TEU,19.20054757
1730,1997-02-28,22900,Szczecinska Stocznia SA,SWIRE & SONS LTD,CHINA NAVIGATION CO PTE LTD,9134658,20,,Ningpo,25.29999924,1997,1600 - 1799 TEU,19.19507187
5618,1997-03-01,69285,Kawasaki HI - Sakaide - earl,COSCO,COSCON,9120762,24.5,83000000,Cosco Qingdao,39.90000153,1997,5400+ TEU,19.19233402
1445,1997-03-04,19338,China Shipbuilding - Kaohsiung,ARKAS HOLDING AS,ARKAS DENIZCILIK VE NAKLIYAT,9126754,18,23800000,Tomriz A,27.33799934,1997,1200 - 1599 TEU,19.18412047
2061,1997-03-14,30202,Flender,CLAUS-PETER OFFEN REEDEREI,CLAUS-PETER OFFEN REEDEREI,9141778,19,,Santa Giulietta,29.94000053,1997,1800 - 2399 TEU,19.15674196
700,1997-03-18,10299,Hanjin HI Co Ltd - Busan,PAN OCEAN CO LTD,PAN OCEAN CO LTD,9133874,17.10000038,16500000,Pos Tokyo,20.5,1997,0 - 899 TEU,19.14579055
639,1997-03-25,9676,Dae Sun Shipbuilding & Eng,ADANI SHIPPING CHINA CO LTD,SHANGHAI ANRITA SHPG CO LTD,9131022,16.5,,Osg Admiral,20.94000053,1997,0 - 899 TEU,19.1266256
561,1997-03-26,8515,Murakami Hide,VINALINES,VSICO SHIPPING JSC,9159268,15,,Dong Mai,18.20000076,1997,0 - 899 TEU,19.12388775
1164,1997-03-26,15606,Evergreen Heavy Industrial,EVERGREEN MARINE CORP,EVERGREEN MARINE CORP,9130523,18.70000076,,Ever Apex,27.29999924,1997,900 - 1199 TEU,19.12388775
1613,1997-03-27,24374,Shin Kurushima Onishi,TRANSWORLD GROUP,ORIENT EXPRESS LINES INC,9137545,20,,Ssl Mumbai,28,1997,1600 - 1799 TEU,19.1211499
450,1997-03-30,4655,Naikai Zosen Corp - Setoda,,HANSUNG LINE CO LTD,9159335,20.60000038,,Hansung Incheon,20,1997,0 - 899 TEU,19.11293634
628,1997-03-31,8006,Kyokuyo Shipyard Corp,REGIONAL CONTAINER LINES,RCL SHIPMANAGEMENT PTE LTD,9145281,17.52000046,18000000,Ora Bhum,21.84600067,1997,0 - 899 TEU,19.11019849
4082,1997-03-31,59961,IHI - Kure,MOLLER AP,MAERSK LINE A/S,9143001,24,70000000,Sea-Land Charger,32.20000076,1997,4000 - 5399 TEU,19.11019849
1498,1997-04-10,21800,Mitsubishi Shimonoseki,REGIONAL CONTAINER LINES,CNC LINE-CHINESE TAIPEI,9133329,18,29700000,Jitra Bhum,25.03499985,1997,1200 - 1599 TEU,19.08281999
523,1997-04-12,5276,Elbewerft Boizenburg,THEKLA SCHEPERS GMBH & CO KG,BG FREIGHT LINE BV,9121869,16,,Katharina B,18.20000076,1997,0 - 899 TEU,19.07734428
624,1997-04-12,7900,Peterswerft,MYKLEBUSTHAUG GROUP,UNIFEEDER A/S,9150080,17,,Romy Trader,19.5,1997,0 - 899 TEU,19.07734428
1684,1997-04-14,22384,Szczecinska Stocznia SA,CONBULK SHIPPING SA,CONBULK SHIPPING SA,9123520,19,,Sonoma,25.29999924,1997,1600 - 1799 TEU,19.07186858
700,1997-04-15,7225,Sietas Kg,,CORAL SHIPMANAGEMENT GMBH & CO,9138343,16.5,,Tolaga,18.45000076,1997,0 - 899 TEU,19.06913073
2959,1997-04-15,34670,Hyundai Heavy Inds - Ulsan,HAMMONIA REEDEREI GMBH,SHREYAS SHIPPING & LOGISTICS,9141314,21,42000000,SSL Bharat,32.25,1997,2900 - 3999 TEU,19.06913073
601,1997-04-18,7060,Hegemann Berne,DRAXL SCHIFFAHRTS GMBH & CO KG,NEGROS NAVIGATION CO INC,9141053,17,13400000,North Express,19.39999962,1997,0 - 899 TEU,19.06091718
1900,1997-04-18,26260,MTW Schiffswerft GmbH,CSL SHIP MANAGEMENT PTE LTD,CONTINENTAL SHIPPING LINE PTE,9138238,19,45000000,Pacific Star,27.5,1997,1800 - 2399 TEU,19.06091718
700,1997-04-22,7200,Sietas Kg,VIETNAM GOVT,VIETNAM FREIGHT,9138367,16.5,,Vinafco 26,18.20000076,1997,0 - 899 TEU,19.04996578
1012,1997-04-22,12340,Szczecinska Stocznia SA,ADMIRAL LINES INC,ADMIRAL SHIPPING LLC,9122461,17.5,,Admiral Glory,22.29999924,1997,900 - 1199 TEU,19.04996578
2080,1997-04-23,30502,Gdynia Stocznia SA,HANSA TREUHAND GMBH & CO KG,CMA CGM SA THE FRENCH LINE,9124380,20,,Primus,30.34000015,1997,1800 - 2399 TEU,19.04722793
