Teu,Delivery_Date,Deadweight,Shipbuilder,Group_Beneficial_Owner,Operator,LR_IMO_Ship_No,Speed,Newbuild_Price_USD,Ship_Name,Beam,Delivery Year,Size Group,age
2437,1980-07-18,46154,Avondale Avondale,HORIZON LINES INC,CROWLEY LINER SERVICES INC,7729459,21,70000000,Horizon Spirit,30.47999954,1980,2400 - 2699 TEU,35.809101
1626,1980-08-24,26350,Sun Shipbuilding & Dry Dock Co,MATSON INC,MATSON NAVIGATION CO INC,7802718,20,75500000,Kauai,29.01000023,1980,1600 - 1799 TEU,35.70780614
320,1980-11-28,5720,Vyborgskiy,FESCO,FESCO,7941198,15,,Kapitan Krems,17.29999924,1980,0 - 899 TEU,35.44498705
2437,1980-12-01,45895,Avondale Avondale,HORIZON LINES INC,CROWLEY LINER SERVICES INC,7729461,21,70000000,Horizon Reliance,30.47999954,1980,2400 - 2699 TEU,35.43677395
210,1981-04-01,5276,Guangzhou Wenchong Shipyard,CHINA SHIPPING GROUP CO,SHANGHAI PUHAI SHIPPING CO LTD,8315853,15.5,,Xiang Ling,16,1981,0 - 899 TEU,35.10746064
320,1981-04-01,5720,Vyborgskiy,FESCO,FESCO,7941849,15,,Kapitan Sergiyevskiy,17.29999924,1981,0 - 899 TEU,35.10746064
300,1981-05-01,4500,Appledore Shipbuilders - earl,,SYSTEMINDO CONTAINER PERDANA,7715393,12,6711058,Systemindo Perdana,16.77000046,1981,0 - 899 TEU,35.02532512
576,1981-08-01,7546,Mie Yokkaichi,,GREAT FAMOUS SHIPPING LTD,7926069,15.60000038,,Sheng Da 2,20.86000061,1981,0 - 899 TEU,34.77344285
1438,1982-06-01,21370,Warnowwerft Warnemuende VEB,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8201624,20,,MSC Iris,25.45999908,1982,1200 - 1599 TEU,33.94047247
1254,1982-09-20,21370,Warnowwerft Warnemuende VEB,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8201636,20,,MSC Malin,25.45999908,1982,1200 - 1599 TEU,33.63657697
3027,1982-10-01,30825,Avondale Avondale,MATSON INC,MATSON NAVIGATION CO INC,7907984,23.25,90000000,Manoa,32.43999863,1982,2900 - 3999 TEU,33.6064612
569,1982-11-15,18332,AFNE,MARUBA SCA EMPRESA,MARUBA SCA EMPRESA,8203309,15.25,,Centurion,22.51000023,1982,0 - 899 TEU,33.48326033
1438,1982-11-30,21370,Warnowwerft Warnemuende VEB,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8201648,19,,MSC Eyra,25.45999908,1982,1200 - 1599 TEU,33.44219337
969,1982-12-30,14033,Orenstein & Koppel,CHESTER SHIPPING LTD,CHESTER SHIPPING LTD,8128860,16.5,21686712,Captain Tsarev,22.84000015,1982,900 - 1199 TEU,33.36005945
846,1982-12-31,13193,Shanghai Shipyard,TANTO INTIM LINE PT,TANTO INTIM LINE PT,8115590,15,9189285,Tanto Star,22.22999954,1982,0 - 899 TEU,33.35732165
3027,1983-02-01,30825,Avondale Avondale,MATSON INC,MATSON NAVIGATION CO INC,7907996,23.25,90000000,Mahimahi,32.24000168,1983,2900 - 3999 TEU,33.26902327
846,1983-02-18,13089,Shanghai Shipyard,MERATUS LINE PT,MERATUS LINE PT,8115605,15.5,9189285,Marina Star 1,22.22999954,1983,0 - 899 TEU,33.22248168
1994,1983-03-29,30652,Avondale Avondale,MATSON INC,MATSON NAVIGATION CO INC,7908005,23.25,90000000,Mokihana,32.43999863,1983,1800 - 2399 TEU,33.1157098
846,1983-04-01,13089,Shanghai Shipyard,MERATUS LINE PT,MERATUS LINE PT,8115617,15,9189285,Marina Star 3,22.22999954,1983,0 - 899 TEU,33.10749658
846,1983-06-01,13126,Shanghai Shipyard,MERATUS LINE PT,MERATUS LINE PT,8115629,15,9189285,Marina Star 2,22.22999954,1983,0 - 899 TEU,32.9404944
100,1983-07-19,2100,Huelva,SINAR SANJAYA ABADI,SINAR SANJAYA ABADI,8107610,13,,Surya Samudra V,13.21000004,1983,0 - 899 TEU,32.80908286
1429,1983-08-12,25329,Thyssen,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8209729,18.75,29978065,MSC Perle,28.54999924,1983,1200 - 1599 TEU,32.74337708
586,1983-09-28,11986,Taihei Akitsu,,RPTD SOLD CHINA,8301709,15,,Gui Jin Yang 1,20.04999924,1983,0 - 899 TEU,32.61470328
1438,1983-09-30,21370,Warnowwerft Warnemuende VEB,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8201674,19,,MSC Lieselotte,25.45999908,1983,1200 - 1599 TEU,32.6092278
1716,1983-12-28,32709,Atlantique Chs,SEALIFT INC,SEALIFT INC,8124371,17,37961785,Black Eagle,32.24000168,1983,1600 - 1799 TEU,32.36556889
512,1984-01-31,9692,Hakodate Dock - Hakodate,HRC SHIPPING LTD,HRC SHIPPING LTD,8201923,14.25,,Banga Bodor,20.86000061,1984,0 - 899 TEU,32.271777
256,1984-04-19,6829,Taihei Akitsu,TANTO INTIM LINE PT,TANTO INTIM LINE PT,8324270,14.30000019,13000000,Tanto Sentosa,20,1984,0 - 899 TEU,32.05550025
283,1984-05-14,4330,Orskov Christensens Staalskibs,DENMARK GOVT,ROYAL ARCTIC LINE A/S,8131180,14.5,,Arina Arctica,21.85000038,1984,0 - 899 TEU,31.98705824
1033,1984-06-14,14265,Nobiskrug Werft - GFR,TRANSYUG SHIPPING CO LTD,TRANSYUG SHIPPING CO LTD,8321644,15.5,,Alessandra I,22.96999931,1984,900 - 1199 TEU,31.90219014
180,1984-08-30,3298,Imai Shipbuilding Co Ltd,,SYSTEMINDO CONTAINER PERDANA,8405775,17.5,,Systemindo Permata,17.51000023,1984,0 - 899 TEU,31.69138875
1033,1984-11-10,14120,Nobiskrug Werft - GFR,,CEDAR MARINE SERVICES SAL,8401523,16.29999924,,Osman Prince,22.96999931,1984,900 - 1199 TEU,31.49427576
1328,1984-11-13,25545,Seebeckwerft AG,COSCO,FUJIAN ZHONGHANG SHPG CO LTD,8321709,17,,Xin Chun He,28.61000061,1984,1200 - 1599 TEU,31.48606272
1328,1984-12-09,25808,Flensburger,COSCO,PINGTAN JINYUAN SHIPPING,8318001,17.5,,Xin Qiu He,28.68000031,1984,1200 - 1599 TEU,31.41488303
1328,1985-02-15,25925,HDW AG - Kiel - GFR,,PINGTAN JINYUAN SHIPPING,8318049,17,,Xin Xing He,28.70999908,1985,1200 - 1599 TEU,31.23066393
1328,1985-02-28,25545,Seebeckwerft AG,COSCO,FUJIAN ZHONGHANG SHPG CO LTD,8321711,17,,Xin Chao He,28.61000061,1985,1200 - 1599 TEU,31.19507187
1914,1985-03-01,24500,Odense Staalskibs - Lindo,SEALIFT INC,MSC USA GOVT DEPT,8320559,18.5,50952884,Major Bernard F. Fisher,32.24000168,1985,1800 - 2399 TEU,31.19233402
1923,1985-03-30,33864,Hyundai Heavy Inds - Ulsan,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8408832,18,,MSC Antonia,28.45000076,1985,1800 - 2399 TEU,31.11293634
424,1985-04-22,7785,Shimoda,JIANGSU JIASHIHE SHPG CO LTD,JIANGSU JIASHIHE SHPG CO LTD,8321967,15,,Bai An 9,20.54999924,1985,0 - 899 TEU,31.04996578
1923,1985-06-10,33823,Hyundai Heavy Inds - Ulsan,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8408818,18,,MSC Giorgia,28.45000076,1985,1800 - 2399 TEU,30.91581109
422,1985-06-28,9485,Kyokuyo Shipyard Corp,NINGBO MARINE GROUP CO LTD,NINGBO OCEAN SHIPPING CO LTD,8321852,17.5,,Ming Zhou 77,21.42000008,1985,0 - 899 TEU,30.86652977
424,1985-07-26,7785,Shimoda,NINGBO MARINE GROUP CO LTD,NINGBO OCEAN SHIPPING CO LTD,8321979,15,,Ming Zhou 56,20.54999924,1985,0 - 899 TEU,30.78986995
480,1985-08-27,8995,Towa Shimonoseki,TANTO INTIM LINE PT,TANTO INTIM LINE PT,8504674,12,,Tanto Surya,21.01000023,1985,0 - 899 TEU,30.70225873
300,1985-09-10,5058,Kochi (Eiho),MERATUS LINE PT,MERATUS LINE PT,8419518,12,,Mataram Express,17.79999924,1985,0 - 899 TEU,30.66392882
1022,1985-09-11,13333,Bremer Vulkan Schiffbau,ARKAS HOLDING AS,ARKAS DENIZCILIK VE NAKLIYAT,8415639,18,14675560,Ayse A,23.31999969,1985,900 - 1199 TEU,30.66119097
1879,1985-10-02,31290,HDW AG - Kiel - GFR,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8413875,17,26782897,MSC Gabriella,28.45000076,1985,1800 - 2399 TEU,30.6036961
