Origin Region, Destination Region, Origin Country, Destination Country, Origin Port, Destination Port,Year, Month, Container Type, TEU,TEU Failure
Far East,Europe,All,All,All,All,2015,Mar,All, 987983,No
Far East,Europe,All,All,All,All,2015,Apr,All, 1181745,No
Far East,Europe,All,All,All,All,2015,May,All, 1331301,No
Far East,Europe,All,All,All,All,2015,Jun,All, 1281746,No
Far East,Europe,All,All,All,All,2015,Jul,All, 1312968,No
Far East,Europe,All,All,All,All,2015,Aug,All, 1339642,No
Far East,Europe,All,All,All,All,2015,Sep,All, 1193576,No
Far East,Europe,All,All,All,All,2015,Oct,All, 1177704,No
Far East,Europe,All,All,All,All,2015,Nov,All, 1104132,No
Far East,Europe,All,All,All,All,2015,Dec,All, 1402750,No
Far East,Europe,All,All,All,All,2016,Jan,All, 1379983,No
Far East,Europe,All,All,All,All,2016,Feb,All, 1030308,No
Far East,Europe,All,All,All,All,2016,Mar,All, 1198678,No
