cnge
130284
79328
104557
107030
106810
110285
119414
123669
116088
104365
95802
104907
112757
61658
96952
88727
91846
96129
103116
114059
107998
95220
98249
111138
112208
91978
107207
113484
115018
119261
124171
130143
116472
107610
111707
121268
130255
72671
103724
112642
116208
105718
139041
124089
107639
99051
94862
118309
128306
71610
109206
101928
112098
111267
115488
114808
101850
84116
85382
117527
129484
81547
92882
103832
110364
114257
124890
129038
105719
100723
98073
120353
151629
76805
117936
120041
136681
128872
140982
143253
118794
109784
102093
136263
144603
111679
86395
112832
130687
125943
126719
127368
114294
108701
101228
140198
